artist,title,id
"Ace Of Base","Lucky love [karaoke]",""
"Ace Of Base","Lucky love [karaoke]",""
"Ace Of Base","Sign [Karaoke]",""
"Ace Of Base","The Sign [Karaoke]",""
"Ace Of Base","The Sign [Karaoke]",""
"Ace Of Base","Travel To Romantis [Karaoke]",""
"Ad Libs","Boy From New York City [Karaoke]",""
"Ad Libs","Boy From New York City [Karaoke]",""
"Adam & The Ants","Ant Music [Karaoke]",""
"Adam & The Ants","Ant Music [Karaoke]",""
"Adam & The Ants","Antmusic [Karaoke]",""
"Adam & The Ants","Goody Two Shoes [Karaoke]",""
"Adam & The Ants","Goody Two Shoes [Karaoke]",""
"Adam & The Ants","Prince Charming [Karaoke]",""
"Adam & The Ants","Prince Charming [Karaoke]",""
"Adam & The Ants","Stand & Deliver [Karaoke]",""
"Adam & The Ants","Stand & Deliver [Karaoke]",""
"Adam Ant","Goody Two Shoes [Karaoke]",""
"Adam Ant","Goody Two Shoes [Karaoke]",""
